  r_x        r_y      r_z       E_MG_1  E_MG_2  E_NP   E_T (eV)
  47.000     0.000    0.000     5.656   5.960   3.130  4.7103414624e-04
  47.000     0.000    0.000     5.696   6.002   3.130  4.5198441810e-04
  47.000     0.000    0.000     5.736   6.045   3.130  4.3374384691e-04
  47.000     0.000    0.000     5.777   6.087   3.130  4.1630173044e-04
  47.000     0.000    0.000     5.817   6.130   3.130  3.9964741133e-04
  47.000     0.000    0.000     5.858   6.172   3.130  3.8376931191e-04
  47.000     0.000    0.000     5.898   6.215   3.130  3.6865552557e-04
  47.000     0.000    0.000     5.938   6.258   3.130  3.5429322606e-04
  47.000     0.000    0.000     5.979   6.300   3.130  3.4066956057e-04
  47.000     0.000    0.000     6.019   6.343   3.130  3.2777124761e-04

  47.500     0.000    0.000     2.020   2.128   3.130  8.0447995392e-04
  47.500     0.000    0.000     2.060   2.171   3.130  8.9063246666e-04
  47.500     0.000    0.000     2.101   2.214   3.130  9.8317782064e-04
  47.500     0.000    0.000     2.141   2.256   3.130  1.0819952422e-03
  47.500     0.000    0.000     2.181   2.299   3.130  1.2302151755e-03
  47.500     0.000    0.000     2.222   2.341   3.130  1.4046476590e-03
  47.500     0.000    0.000     2.262   2.384   3.130  1.5956981286e-03
  47.500     0.000    0.000     2.303   2.426   3.130  1.8030679955e-03
  47.500     0.000    0.000     2.343   2.469   3.130  2.0261765165e-03
  47.500     0.000    0.000     2.383   2.512   3.130  2.2641568755e-03
  47.500     0.000    0.000     2.424   2.554   3.130  2.6336396492e-03
  47.500     0.000    0.000     2.464   2.597   3.130  3.0356043776e-03
  47.500     0.000    0.000     2.505   2.639   3.130  3.4676367268e-03
  47.500     0.000    0.000     2.545   2.682   3.130  3.9835170988e-03
  47.500     0.000    0.000     2.585   2.724   3.130  4.6650093126e-03
  47.500     0.000    0.000     2.626   2.767   3.130  5.3928869467e-03
  47.500     0.000    0.000     2.666   2.810   3.130  6.3588740428e-03
  47.500     0.000    0.000     2.707   2.852   3.130  7.4429038869e-03
  47.500     0.000    0.000     2.747   2.895   3.130  8.8665002915e-03
  47.500     0.000    0.000     2.787   2.937   3.130  1.0545463167e-02
  47.500     0.000    0.000     2.828   2.980   3.130  1.2589240503e-02
  47.500     0.000    0.000     2.868   3.022   3.130  1.5076380346e-02
  47.500     0.000    0.000     2.909   3.065   3.130  1.8023032116e-02
  47.500     0.000    0.000     2.949   3.108   3.130  2.1340654880e-02
  47.500     0.000    0.000     2.989   3.150   3.130  2.4790775202e-02
  47.500     0.000    0.000     3.030   3.193   3.130  2.7970017534e-02
  47.500     0.000    0.000     3.070   3.235   3.130  3.0261121518e-02
  47.500     0.000    0.000     3.111   3.278   3.130  3.1055063866e-02
