  r_x        r_y      r_z       E_MG_1  E_MG_2  E_NP   E_T (eV)
  28.000     0.000    0.000     4.040   4.257   3.130  4.8344249262e-02
  28.000     0.000    0.000     4.242   4.470   3.130  3.6655844676e-02
  28.000     0.000    0.000     4.444   4.683   3.130  2.8268528036e-02
  28.000     0.000    0.000     4.646   4.895   3.130  2.1323029638e-02
  28.000     0.000    0.000     4.848   5.108   3.130  1.5850159401e-02
  28.000     0.000    0.000     5.050   5.321   3.130  1.3349368184e-02
  28.000     0.000    0.000     5.252   5.534   3.130  1.1405649466e-02
  28.000     0.000    0.000     5.454   5.747   3.130  9.7536344170e-03
  28.000     0.000    0.000     5.656   5.960   3.130  8.3771722818e-03
  28.000     0.000    0.000     5.858   6.172   3.130  7.2544111386e-03
  30.000     0.000    0.000     2.020   2.128   3.130  2.3666877330e-02
  30.000     0.000    0.000     2.222   2.341   3.130  3.2894446236e-02
  30.000     0.000    0.000     2.424   2.554   3.130  5.2018557685e-02
  30.000     0.000    0.000     2.626   2.767   3.130  8.0952814573e-02
  30.000     0.000    0.000     2.828   2.980   3.130  1.2480144946e-01
  30.000     0.000    0.000     3.030   3.193   3.130  1.6400354050e-01
  30.000     0.000    0.000     3.232   3.406   3.130  1.5216878211e-01
  30.000     0.000    0.000     3.434   3.618   3.130  1.0880617056e-01
  30.000     0.000    0.000     3.636   3.831   3.130  7.2754849127e-02
  30.000     0.000    0.000     3.838   4.044   3.130  4.9290224998e-02
  30.000     0.000    0.000     4.040   4.257   3.130  3.4730128923e-02
  30.000     0.000    0.000     4.242   4.470   3.130  2.5515288334e-02
  30.000     0.000    0.000     4.444   4.683   3.130  1.9700001830e-02
  30.000     0.000    0.000     4.646   4.895   3.130  1.4852264264e-02
  30.000     0.000    0.000     4.848   5.108   3.130  1.1007986741e-02
  30.000     0.000    0.000     5.050   5.321   3.130  9.0553392843e-03
  30.000     0.000    0.000     5.252   5.534   3.130  7.7197839625e-03
  30.000     0.000    0.000     5.454   5.747   3.130  6.5812369245e-03
  30.000     0.000    0.000     5.656   5.960   3.130  5.6304019920e-03
  30.000     0.000    0.000     5.858   6.172   3.130  4.8537237469e-03
  32.000     0.000    0.000     2.020   2.128   3.130  1.5820275950e-02
  32.000     0.000    0.000     2.222   2.341   3.130  2.2775327819e-02
  32.000     0.000    0.000     2.424   2.554   3.130  3.6127526242e-02
  32.000     0.000    0.000     2.626   2.767   3.130  5.9102255974e-02
  32.000     0.000    0.000     2.828   2.980   3.130  9.8447765845e-02
  32.000     0.000    0.000     3.030   3.193   3.130  1.3946727522e-01
  32.000     0.000    0.000     3.232   3.406   3.130  1.2714738547e-01
  32.000     0.000    0.000     3.434   3.618   3.130  8.4411802654e-02
  32.000     0.000    0.000     3.636   3.831   3.130  5.3668395747e-02
  32.000     0.000    0.000     3.838   4.044   3.130  3.5531674209e-02
  32.000     0.000    0.000     4.040   4.257   3.130  2.5146615239e-02
  32.000     0.000    0.000     4.242   4.470   3.130  1.8136818835e-02
  32.000     0.000    0.000     4.444   4.683   3.130  1.4026339820e-02
  32.000     0.000    0.000     4.646   4.895   3.130  1.0574384203e-02
  32.000     0.000    0.000     4.848   5.108   3.130  7.8185323554e-03
  32.000     0.000    0.000     5.050   5.321   3.130  6.3192772816e-03
  32.000     0.000    0.000     5.252   5.534   3.130  5.3743368273e-03
  32.000     0.000    0.000     5.454   5.747   3.130  4.5665298548e-03
  32.000     0.000    0.000     5.656   5.960   3.130  3.8906351400e-03
  32.000     0.000    0.000     5.858   6.172   3.130  3.3380180189e-03
  34.000     0.000    0.000     2.020   2.128   3.130  1.0644221680e-02
  34.000     0.000    0.000     2.222   2.341   3.130  1.5723198830e-02
  34.000     0.000    0.000     2.424   2.554   3.130  2.5122933566e-02
  34.000     0.000    0.000     2.626   2.767   3.130  4.3447851370e-02
  34.000     0.000    0.000     2.828   2.980   3.130  7.6781208031e-02
  34.000     0.000    0.000     3.030   3.193   3.130  1.1672557512e-01
  34.000     0.000    0.000     3.232   3.406   3.130  1.0448453660e-01
  34.000     0.000    0.000     3.434   3.618   3.130  6.5188683798e-02
  34.000     0.000    0.000     3.636   3.831   3.130  3.9685184567e-02
  34.000     0.000    0.000     3.838   4.044   3.130  2.5960594611e-02
  34.000     0.000    0.000     4.040   4.257   3.130  1.8461314021e-02
