  r_x        r_y      r_z       E_MG_1  E_MG_2  E_NP   E_T (eV)
  47.000     0.000    0.000     5.656   5.960   2.350  1.4157395720e-04
  47.000     0.000    0.000     5.696   6.002   2.350  1.3710758245e-04
  47.000     0.000    0.000     5.736   6.045   2.350  1.3276758395e-04
  47.000     0.000    0.000     5.777   6.087   2.350  1.2855237968e-04
  47.000     0.000    0.000     5.817   6.130   2.350  1.2446082654e-04
  47.000     0.000    0.000     5.858   6.172   2.350  1.2049146391e-04
  47.000     0.000    0.000     5.898   6.215   2.350  1.1664266825e-04
  47.000     0.000    0.000     5.938   6.258   2.350  1.1291259165e-04
  47.000     0.000    0.000     5.979   6.300   2.350  1.0929976478e-04
  47.000     0.000    0.000     6.019   6.343   2.350  1.0580225543e-04

  47.500     0.000    0.000     2.020   2.128   2.350  4.0223561616e-04
  47.500     0.000    0.000     2.060   2.171   2.350  4.7943432392e-04
  47.500     0.000    0.000     2.101   2.214   2.350  5.7714704455e-04
  47.500     0.000    0.000     2.141   2.256   2.350  6.8974237053e-04
  47.500     0.000    0.000     2.181   2.299   2.350  8.2892232037e-04
  47.500     0.000    0.000     2.222   2.341   2.350  9.7506666193e-04
  47.500     0.000    0.000     2.262   2.384   2.350  1.1321875852e-03
  47.500     0.000    0.000     2.303   2.426   2.350  1.2773461722e-03
  47.500     0.000    0.000     2.343   2.469   2.350  1.4029007838e-03
  47.500     0.000    0.000     2.383   2.512   2.350  1.5022915373e-03
  47.500     0.000    0.000     2.424   2.554   2.350  1.5705960987e-03
  47.500     0.000    0.000     2.464   2.597   2.350  1.6049093630e-03
  47.500     0.000    0.000     2.505   2.639   2.350  1.6117197093e-03
  47.500     0.000    0.000     2.545   2.682   2.350  1.6130469152e-03
  47.500     0.000    0.000     2.585   2.724   2.350  1.5896086953e-03
  47.500     0.000    0.000     2.626   2.767   2.350  1.5613505032e-03
  47.500     0.000    0.000     2.666   2.810   2.350  1.5396823479e-03
  47.500     0.000    0.000     2.707   2.852   2.350  1.5033208808e-03
  47.500     0.000    0.000     2.747   2.895   2.350  1.4539423327e-03
  47.500     0.000    0.000     2.787   2.937   2.350  1.4266323414e-03
  47.500     0.000    0.000     2.828   2.980   2.350  1.4021094754e-03
  47.500     0.000    0.000     2.868   3.022   2.350  1.3701532870e-03
  47.500     0.000    0.000     2.909   3.065   2.350  1.3316318549e-03
  47.500     0.000    0.000     2.949   3.108   2.350  1.2874524586e-03
  47.500     0.000    0.000     2.989   3.150   2.350  1.2385337967e-03
  47.500     0.000    0.000     3.030   3.193   2.350  1.2126008334e-03
  47.500     0.000    0.000     3.070   3.235   2.350  1.1942998453e-03
  47.500     0.000    0.000     3.111   3.278   2.350  1.1728336773e-03
  47.500     0.000    0.000     3.151   3.320   2.350  1.1485164589e-03
  47.500     0.000    0.000     3.191   3.363   2.350  1.1216558842e-03
  47.500     0.000    0.000     3.232   3.406   2.350  1.0925619398e-03
  47.500     0.000    0.000     3.272   3.448   2.350  1.0615345746e-03
  47.500     0.000    0.000     3.313   3.491   2.350  1.0288682163e-03
  47.500     0.000    0.000     3.353   3.533   2.350  9.9484231282e-04
  47.500     0.000    0.000     3.393   3.576   2.350  9.5972492438e-04
  47.500     0.000    0.000     3.434   3.618   2.350  9.2377129657e-04
  47.500     0.000    0.000     3.474   3.661   2.350  8.8721757339e-04
  47.500     0.000    0.000     3.515   3.703   2.350  8.5028544697e-04
  47.500     0.000    0.000     3.555   3.746   2.350  8.2197992826e-04
  47.500     0.000    0.000     3.595   3.789   2.350  8.0576293964e-04
  47.500     0.000    0.000     3.636   3.831   2.350  7.8876409197e-04
  47.500     0.000    0.000     3.676   3.874   2.350  7.7106680949e-04
  47.500     0.000    0.000     3.717   3.916   2.350  7.5275051271e-04
  47.500     0.000    0.000     3.757   3.959   2.350  7.3389361987e-04
  47.500     0.000    0.000     3.797   4.001   2.350  7.1457499673e-04
  47.500     0.000    0.000     3.838   4.044   2.350  6.9486483422e-04
  47.500     0.000    0.000     3.878   4.087   2.350  6.7483684247e-04
